region_country,model,sample_mean,upper_95_ui,lower_95_ui,sd,level,definition
Saint Kitts and Nevis,22.72,22.96,67.99,4.68,17.83,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Saint Lucia,15.23,15.48,45.11,3.26,11.39,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Saint Vincent and the Grenadines,14.48,14.4,42.46,3.04,10.55,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Samoa,6.66,6.37,19.64,1.33,5.22,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
San Marino,55.17,55.71,171.86,12.38,45.58,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Sao Tome and Principe,3.24,3.24,9.98,0.63,2.53,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Saudi Arabia,29.2,28.89,88.04,5.67,22.12,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Senegal,3.25,3.33,10.16,0.66,2.73,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Serbia,15.19,14.87,43.2,3.01,11.72,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Seychelles,28.73,28.77,95.63,5.91,22.52,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Sierra Leone,2.08,2.1,6.39,0.4,1.62,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Singapore,63.96,62.94,180.04,13.59,46.64,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Slovakia,28.95,29.08,89.2,5.66,21.72,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Slovenia,32.64,33.99,103.54,7.04,28.38,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Solomon Islands,4.58,4.64,13.65,1.03,3.41,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Somalia,NA,NA,NA,NA,NA,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
South Africa,14.28,14.65,47.23,3.13,11.68,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Spain,37.83,37.91,115.5,7.29,30.18,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Sri Lanka,7.77,7.73,22.8,1.58,5.75,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Sudan,4.24,4.23,12.56,0.81,3.35,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Suriname,11.37,11.24,32.5,2.43,8.39,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Swaziland,7.98,8.03,24.9,1.72,6.17,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Sweden,45.76,44.35,131.2,9.42,33.68,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Switzerland,55.22,54.76,164.19,11.47,40.48,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Syrian Arab Republic,8.63,8.56,25.79,1.76,6.41,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Tajikistan,3.39,3.49,10.75,0.7,2.76,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Thailand,12.58,12.57,38.58,2.49,9.54,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
The former Yugoslav Republic of Macedonia,15.29,15.64,48.62,3.19,12.1,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Timor-Leste,2.74,2.68,8.04,0.56,1.95,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Togo,1.83,1.82,5.15,0.39,1.44,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Tonga,7.11,7.16,21.12,1.48,5.63,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Trinidad and Tobago,31.95,30.88,90.04,6.67,22.24,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Tunisia,13.33,13.45,41.3,2.87,10.46,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Turkey,20.83,20.53,61.34,4.23,15.68,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Turkmenistan,11.7,11.72,35.51,2.31,9.29,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Tuvalu,4.49,4.43,14.04,0.9,3.49,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Uganda,2.32,2.36,6.86,0.46,1.77,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Ukraine,9.83,9.78,31.17,2.01,7.94,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
United Arab Emirates,48.53,48.28,150.15,9.95,38.59,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
United Kingdom,41.73,43.05,143.27,8.7,35.89,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
United Republic of Tanzania,2.53,2.61,7.93,0.54,2.05,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
United States of America,53.04,52.5,153.67,10.33,40.37,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Uruguay,18.63,18.35,58.04,3.8,14.07,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Uzbekistan,5.13,5.12,15.52,1.14,3.91,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Vanuatu,6.92,6.98,21.6,1.33,5.64,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Venezuela (Bolivarian Republic of),16.46,16.6,51.55,3.52,13.14,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Viet Nam,5.09,5.08,15.44,0.98,3.93,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Yemen,4.22,4.18,12.46,0.91,3.18,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Zambia,2.74,2.72,8.84,0.56,2.26,health centre (no beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
AFRO D,5.6,5.57,16.38,1.23,4.09,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
AFRO E,4.82,4.69,13.74,1.02,3.41,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
AMRO A,62.93,60.38,179.59,12.11,46.9,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
AMRO B,20.97,20.84,61.35,4.25,15.38,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
AMRO D,12.01,11.9,36.31,2.59,9.29,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Andean Latin America,14.79,14.92,47.68,3.16,11.51,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Australasia,56.97,56.16,171.11,11.5,42.5,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Caribbean,10.97,10.85,31.63,2.21,7.74,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Asia,11.24,11.13,33.91,2.28,8.63,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Europe,28.63,28.54,85.6,5.9,21.78,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Latin America,20.52,20.5,63.92,4.18,16.08,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Sub-Saharan Africa,4.49,4.44,13.62,0.92,3.48,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
EMRO B,27.48,27.28,85.62,5.74,21.16,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
EMRO D,6.83,6.65,20.61,1.48,5.34,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
EURO A,50.94,52.38,159.07,11.21,43.41,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
EURO B,21.66,21.41,68.82,4.53,16.7,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
EURO C,26.88,26.71,81.26,5.45,20.71,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
East Asia,13.25,13.13,39.93,2.6,9.98,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Eastern Europe,27.08,26.43,73.67,5.78,19.48,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Eastern Sub-Saharan Africa,3.05,3.15,9.93,0.66,2.57,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
High Income Asia Pacific,48.31,47.41,155.7,9.11,38.11,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
High Income North America,64.55,63.6,188.88,13.13,50.27,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
North Africa and the Middle East,19.48,19.9,63.12,3.97,15.83,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Oceania,5.74,5.7,16.29,1.16,4.26,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
SEARO B,9.9,9.77,29.04,1.93,7.16,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
SEARO D,6.34,6.54,22.13,1.31,5.21,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
South Asia,6.27,6.21,17.91,1.26,4.72,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Southeast Asia,9.09,9.63,31,1.81,7.67,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Southern Latin America,26.69,27.21,83.96,5.81,20.84,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Southern Sub-Saharan Africa,17.06,17.11,50.27,3.73,15.17,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Tropical Latin America,18.74,18.45,53.61,3.86,13.86,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
WPRO A,51.45,50.87,153.97,9.84,39.23,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
WPRO B,13.64,13.4,40.76,2.6,10.23,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Western Europe,51.48,52.65,163.69,10.36,42.3,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Western Sub-Saharan Africa,4.09,4.02,12.31,0.85,3.11,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Afghanistan,1.49,1.46,4.09,0.31,1.14,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Albania,15.29,15.21,43.77,3.2,11.94,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Algeria,14.25,13.88,43.98,2.98,11.69,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Andorra,60.99,59.92,184.11,11.75,47.48,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Angola,10.44,10.57,33.28,2.15,8.27,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Antigua and Barbuda,30.86,30.33,86.93,6.7,24.39,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Argentina,25.82,26.05,83.2,5.23,22.18,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Armenia,10.56,10.71,34.61,2.18,8.39,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Australia,59.4,60.44,176.95,12.45,45.36,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Austria,57.79,57.82,179,11.87,45.13,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Azerbaijan,17.01,16.55,49.8,3.67,13.37,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Bahamas,44.8,43.81,133.94,9.43,34.42,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Bahrain,31.86,31.97,98.85,6.98,25.79,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Bangladesh,3.58,3.5,10.32,0.74,2.82,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Barbados,34.37,33.37,100.24,7.35,24.63,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Belarus,22.89,23.24,68.65,4.57,17.65,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Belgium,54.76,56.58,175.87,11.82,44.41,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Belize,13.3,13.32,43.29,2.77,10.83,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Benin,3.32,3.23,10.21,0.72,2.66,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Bhutan,10.41,10.38,32.79,2.3,8.23,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Bolivia Plurinational States of,8.99,8.86,25.78,1.91,6.4,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Bosnia and Herzegovina,14.99,15.08,45.95,3.01,11.63,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Botswana,23.69,23.56,74.33,4.23,19.26,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Brazil,3.98,3.95,11.9,0.82,3.11,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Brunei Darussalam,69.75,68.94,210.88,14.15,55.81,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Bulgaria,22.91,22.53,71.28,5.03,17.48,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Burkina Faso,2.89,2.85,9.06,0.55,2.53,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Burundi,1.35,1.39,4.27,0.28,1.07,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Cote d'Ivoire,4.2,4.16,12.13,0.86,3.45,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Cabo Verde Republic of,7.69,7.67,23.23,1.53,5.99,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Cambodia,4.56,4.53,13.44,0.98,3.23,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Cameroon,4.58,4.39,12.87,0.98,3.38,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Canada,56.18,55.09,168.26,11.34,42.14,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Central African Republic,1.93,1.9,5.62,0.42,1.43,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Chad,3.19,3.15,9.72,0.62,2.41,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Chile,29.44,28.8,87.4,5.74,21.65,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
China,13.25,13.52,41.42,2.85,10.06,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Colombia,30.54,30.64,102.05,6.23,24.59,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Comoros,2.7,2.7,7.67,0.53,2.15,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Congo,8.07,7.9,24.05,1.67,5.95,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Cook Islands,16.33,16.06,48.53,3.35,12.36,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Costa Rica,19.58,20.03,61.08,4.17,16.57,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Croatia,29.66,29.55,85.94,6.18,21.78,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Cuba,7.66,7.53,22.8,1.53,5.98,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Cyprus,44.84,45.07,128.28,8.91,33.46,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Czech Republic,38.6,39.03,123.08,8.12,31.68,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Democratic Republic of the Congo,1,0.98,2.86,0.21,0.77,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Denmark,58.05,57.25,181.77,12.92,45.89,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Djibouti,4.93,4.89,14.06,1.07,3.85,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Dominica,20.53,20.27,60.14,4.04,15.66,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Dominican Republic,16.07,15.83,48.57,3.11,11.99,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Ecuador,15.42,15.2,45.18,3.23,11.29,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Egypt,11.39,11.24,34.24,2.34,8.46,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
El Salvador,12.05,11.88,35.17,2.51,8.83,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Equatorial Guinea,42.58,41.81,121.45,8.49,30.65,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Eritrea,1.28,1.27,3.78,0.27,1.01,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Estonia,31.67,31.63,91.65,6.8,23.67,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Ethiopia,2.32,2.36,7.14,0.52,1.85,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Fiji,8.82,8.81,25.41,1.89,6.47,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Finland,52.36,52.62,154.36,11.38,40.19,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
France,50.31,51.96,163.9,9.95,42.79,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Gabon,23.37,23.6,71.12,5.26,18.73,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Gambia,4.2,4.17,11.97,0.79,3.11,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Georgia,9.65,9.59,28.04,1.89,7.16,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Germany,54.27,52.8,157.94,11.18,37.87,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Ghana,3.64,3.57,11.2,0.76,2.89,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Greece,41.42,41.32,124.53,7.9,31.56,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Grenada,17.86,17.47,54.73,3.64,14.75,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Guatemala,9.1,8.9,27.77,1.82,6.91,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Guinea,2.34,2.29,7.03,0.47,1.72,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Guinea-Bissau,2.68,2.67,8.25,0.53,2.02,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Guyana,6.04,5.92,18.15,1.19,4.42,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Haiti,2.58,2.52,7.85,0.53,2,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Honduras,7.48,7.24,21.57,1.58,5.5,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Hungary,32.21,32.7,103.35,6.78,26.56,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Iceland,51.64,52.79,160.44,11.19,40.47,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
India,6.89,6.67,19.87,1.38,4.9,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Indonesia,8.3,8.27,25.73,1.66,6.25,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Iran (Islamic Republic of),24.58,23.78,68.53,5.28,16.95,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Iraq,7.37,7.49,23.93,1.48,5.74,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Ireland,58.53,56.62,174.45,11.64,45.44,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Israel,40.82,40.41,133.99,7.91,32.89,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Italy,47.36,49.14,153.76,9.44,41.1,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Jamaica,13.29,12.84,38.23,2.78,9.55,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Japan,49.08,48.76,145.76,10.16,37.46,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Jordan,10.57,10.34,32.34,2.28,8.1,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Kazakhstan,20.8,20.08,57.37,4.25,14.09,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Kenya,3.59,3.61,10.93,0.71,2.65,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Kiribati,4.88,4.86,14.6,1.09,3.58,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Kuwait,53.55,53.36,160.18,10.84,40.96,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Kyrgyzstan,4.83,4.95,15.83,1.02,3.95,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Lao People's Democratic Republic,5.17,5.1,14.54,1.02,3.95,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Latvia,27.3,27.1,82.32,5.25,21.56,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Lebanon,22.55,22.79,72.85,4.47,19.91,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Lesotho,3.87,3.92,11.54,0.82,3.14,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Liberia,1.39,1.36,4.08,0.26,1,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Libya,27.74,28.08,88,5.65,24.1,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Lithuania,28.95,27.88,83.69,5.32,20.78,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Luxembourg,110.49,110.62,328.14,21.15,86.67,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Madagascar,2.21,2.22,6.63,0.42,1.66,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Malawi,2.06,2.03,6.19,0.41,1.66,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Malaysia,24.87,26.07,81.25,5.29,20.84,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Maldives,14.43,14.33,44.37,3,11.71,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Mali,2.78,2.71,8.19,0.54,1.99,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Malta,41.13,42.12,135.89,8.46,35.92,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Marshall Islands,5.11,4.97,14.92,1.08,3.81,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Mauritania,4.7,4.68,14.3,0.92,3.65,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Mauritius,24.03,23.82,70.83,4.95,17.17,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Mexico,25.66,25.42,78.37,4.8,19.08,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Micronesia (Federated States of),6.99,7.19,22.05,1.58,5.55,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Monaco,157.86,158.74,480.72,33.67,127.64,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Mongolia,7.94,7.7,22.6,1.55,5.66,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Montenegro,21.94,22.4,67.57,4.65,18.73,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Morocco,9.16,9.07,27.28,1.74,7.09,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Mozambique,2.13,2.15,6.46,0.45,1.68,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Myanmar,2.73,2.75,8.4,0.58,2.13,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Namibia,12.25,11.65,35.88,2.45,9.01,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Nauru,4.84,4.73,13.94,0.96,3.5,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Nepal,3.02,2.96,8.69,0.61,2.28,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Netherlands,59.39,59.01,177.12,11.9,47.18,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
New Zealand,44.24,44.18,140.26,8.8,35.61,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Nicaragua,7.14,6.86,19.75,1.37,5.1,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Niger,1.56,1.62,5.12,0.33,1.27,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Nigeria,4.93,4.97,15.39,0.99,3.78,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Niue,34.63,34.7,104.55,7.68,25.6,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Norway,78.69,78.4,239.33,15.11,61.4,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Oman,33.57,33.24,97.76,6.75,23.53,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Pakistan,5.48,5.48,17.22,1.1,4.3,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Palau,27.55,27.34,81.13,5.42,20.61,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Panama,22.55,22.2,67.35,4.76,16.89,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Papua New Guinea,5.12,5.22,16.19,1.04,4.51,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Paraguay,10.91,10.88,32.55,2.17,8.41,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Peru,16.4,16.18,51.59,3.33,13.06,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Philippines,7.7,7.48,23.16,1.58,6.16,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Poland,31.46,32.12,101.5,6.91,24.9,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Portugal,38.81,39.2,114.74,7.62,30.81,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Qatar,101.81,106.35,332.7,20.37,91.6,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Republic of Korea,42.81,43.83,130.81,9.34,33.95,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Republic of Moldova,6.37,6.27,19.82,1.33,5.16,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Romania,24.22,23.65,68.75,5.04,17.57,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Russian Federation,32.2,32.59,100.85,6.47,27.42,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Rwanda,2.7,2.8,8.45,0.58,2.33,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
